Date,Campaign Key,Campaign Name,Campaign Type,Activity Name,Region,Country,Customer_No,Buyer,Buyer_No,Marketing Spend,Status,Budget,Total Spend,Offline Spend,Content & Media Cost,Program Operation Cost,Inventory Production Cost,Campaign Production Cost,Promotional Material Support Cost,Customer Marketing Support Cost,Incentive & Reward Cost,Digital Spend,Number of Offline Leads,Target Order Performance,Actual Order Performance,% of Target Order,Target Sales Performance,Actual Sales Performance,% of Target Sales,Number of Online Leads,Number of Contents,Impression,Reach,View,Engagement,Click,CPM,CPV,CTR,CPC,CPE,CPL
2023-09-07,TECHSM-2023,Tech Seminar,Local Marketing,Operations,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,현장 이벤트 진행 물품 구입비,Complete,,35272,"35,272 ",,,,"35,272 ",,,,,,,,,,,,,,,,,,,,,,,,
2023-09-08,TECHSM-2023,Tech Seminar,Local Marketing,Promotional Materials,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,현장 이벤트 홍보물 포장백 구입,Complete,,19425,"19,425 ",,"19,425 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-08,TECHSM-2023,Tech Seminar,Local Marketing,Operations,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,브랜드 프로모션 애프터파티 행사 대관료 결제,Complete,,2324498,"2,324,498 ",,"2,324,498 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-08,TECHSM-2023,Tech Seminar,Local Marketing,Operations,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,테크세미나 현장 다과비 결제,Complete,,123353,"123,353 ",,"123,353 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-19,TECHSM-2023,Tech Seminar,Local Marketing,Logistics,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,[브랜드 프로모션] CIS 마케팅 프로모션 홍보물 지원물품 운임 현지 통관 핸들링 실비(C,Complete,,3992211,"3,992,211 ",,"3,992,211 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-19,TECHSM-2023,Tech Seminar,Local Marketing,Logistics,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,[브랜드 프로모션] CIS 마케팅 프로모션 홍보물 배송 에이전시 실비(CIS100),Complete,,200000,"200,000 ",,"200,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-19,TECHSM-2023,Tech Seminar,Local Marketing,Logistics,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,[브랜드 프로모션] CIS 마케팅 프로모션 홍보물 지원물품 운임 실비용(CIS100),Complete,,2518650,"2,518,650 ",,"2,518,650 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-27,PROMAT-2023,Promotional Materials,Material Support,Promotional Materials,LATAM,Panama,200358,RP INTERNATIONAL GROUP INC,120-100,고객 인증패 제작 건 (LA 100),Complete,,127300,"127,300 ",,,,,"1,018,400 ",,,,,,,,,,,,,,,,,,,,,,,
2023-11-27,PROMAT-2023,Promotional Materials,Material Support,Promotional Materials,LATAM,Panama,203776,R24 AUTOMOTIVE,120-103,고객 인증패 제작 건 (LA 100),Complete,,127300,"127,300 ",,,,,"1,018,400 ",,,,,,,,,,,,,,,,,,,,,,,
2023-11-27,PROMAT-2023,Promotional Materials,Material Support,Promotional Materials,LATAM,Colombia,200443,UNIVERSAL DE REPUESTOS,130-090,고객 인증패 제작 건 (LA 100),Complete,,127300,"127,300 ",,,,,"1,018,400 ",,,,,,,,,,,,,,,,,,,,,,,
2023-11-27,PROMAT-2023,Promotional Materials,Material Support,Promotional Materials,LATAM,Chile,200460,MANNHEIM,139-101,고객 인증패 제작 건 (LA 100),Complete,,127300,"127,300 ",,,,,"1,018,400 ",,,,,,,,,,,,,,,,,,,,,,,
2023-11-27,PROMAT-2023,Promotional Materials,Material Support,Promotional Materials,LATAM,Nicaragua,200173,CASA CROSS,108-001,고객 인증패 제작 건 (LA 100),Complete,,127300,"127,300 ",,,,,"1,018,400 ",,,,,,,,,,,,,,,,,,,,,,,
2023-11-27,PROMAT-2023,Promotional Materials,Material Support,Promotional Materials,LATAM,Costa Rica,200324,IMPORTACIONES SOL DE KOBE S.A.,106-005,고객 인증패 제작 건 (LA 100),Complete,,127300,"127,300 ",,,,,"1,018,400 ",,,,,,,,,,,,,,,,,,,,,,,
2023-11-27,PROMAT-2023,Promotional Materials,Material Support,Promotional Materials,LATAM,Paraguay,200189,PLUSCAR S.A,140-300,고객 인증패 제작 건 (LA 100),Complete,,127300,"127,300 ",,,,,"1,018,400 ",,,,,,,,,,,,,,,,,,,,,,,
2023-11-27,PROMAT-2023,Promotional Materials,Material Support,Promotional Materials,LATAM,Paraguay,200187,AUTOMOVIL SUPPLY,140-005,고객 인증패 제작 건 (LA 100),Complete,,127300,"127,300 ",,,,,"1,018,400 ",,,,,,,,,,,,,,,,,,,,,,,
2023-12-04,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,Middle East,Yemen,200544,AL-MOKBILY TRADING & INDUSTRY CO,640-002,터보부스터 마케팅 비용 AL-MOKBILY 지급 건 (ME100),Complete,,6078516,"6,078,516 ",,,,,,"6,078,516 ",,,,"140,000.00 ","155,476.70 ",111.05%,,,,,,,,,,,,,,,,
2023-12-04,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,Middle East,United Arab Emirates : UAE,288140,MOTOR WORLD,690-016,터보부스터 마케팅 비용 MOTOR WORLD 지급 건 (ME100),Complete,,2514003,"2,514,003 ",,,,,,"2,514,003 ",,,,"75,000.00 ","96,455.14 ",128.61%,,,,,,,,,,,,,,,,
2023-12-04,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,Middle East,Iraq,200287,MESK AL-BARARI,675-005,터보부스터 마케팅 비용 MESK 지급 건 (ME100),Complete,,7122183,"7,122,183 ",,,,,,"7,122,183 ",,,,"140,000.00 ","182,171.64 ",130.12%,,,,,,,,,,,,,,,,
2023-12-04,CMLATM-2022,Co-funded Marketing (LATAM),Local Marketing,Co-Marketing,LATAM,Ecuador,290020,AUTOFLEX,131-999,중남미 마케팅 프로모션 비용 지급 건 (LA 100),Complete,,6334855,"6,334,855 ",,,,,,"6,334,855 ",,,,,,,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,LATAM,Uruguay,200442,ACESUR SA,141-100,터보부스터 마케팅 비용 ACESUR 지급 건 (LA100),Complete,,909188,"909,188 ",,,,,,"909,188 ",,,,"30,000.00 ","17,265.00 ",57.55%,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,LATAM,Panama,203776,R24 AUTOMOTIVE,120-103,터보부스터 마케팅 비용 R24 지급 건 (LA100),Complete,,9253231,"9,253,231 ",,,,,,"9,253,231 ",,,,0.00 ,0.00 ,0.00%,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,LATAM,Chile,200460,MANNHEIM,139-101,터보부스터 마케팅 비용 MANNHEIM 지급 건 (LA100),Complete,,6361512,"6,361,512 ",,,,,,"6,361,512 ",,,,"200,000.00 ","169,186.00 ",84.59%,,,,,,,,,,,,,,,,
2023-12-14,CMMENA-2023,Co-funded Marketing (ME),Local Marketing,Co-Marketing,Middle East,United Arab Emirates : UAE,200453,NEW EAST GENERAL TRADING,672-001,통합 프로모션 마케팅 비용 지급 (NEWEAST)(ME100),Complete,,62533750,"62,533,750 ",,,,,,"62,533,750 ",,,,,,,,,,,,,,,,,,,,,,
2023-12-14,CMLATM-2023,Co-funded Marketing (LATAM),Local Marketing,Co-Marketing,LATAM,Panama,200358,RP INTERNATIONAL GROUP INC,120-100,마케팅 프로모션 비용 지급 (RP International)(LA100),Complete,,7346070,"7,346,070 ",,,,,,"7,346,070 ",,,,,,,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,LATAM,Nicaragua,200173,CASA CROSS,108-001,터보부스터 마케팅 프로모션 비용 지급 (CasaCross)(LA100,Complete,,2633000,"2,633,000 ",,,,,,"2,633,000 ",,,,"20,000.00 ","23,785.00 ",118.93%,,,,,,,,,,,,,,,,
2023-12-19,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,LATAM,Costa Rica,200324,IMPORTACIONES SOL DE KOBE S.A.,106-005,터보부스터 마케팅 비용 Importaciones Sol de Kobe 지급 건 (LA100,Complete,,2389608,"2,389,608 ",,,,,,"2,389,608 ",,,,"50,000.00 ","25,380.00 ",50.76%,,,,,,,,,,,,,,,,
2023-12-19,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,Middle East,Iraq,200424,"AL-FORCAN AUTO SPARE PARTS CO. ,",675-012,터보부스터 마케팅 비용 Al-Forcan 지급 건 (ME100),Complete,,9836977,"9,836,977 ",,,,,,"9,836,977 ",,,,"140,000.00 ","151,489.50 ",108.21%,,,,,,,,,,,,,,,,
2023-12-19,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,Middle East,Libya,200462,AL BADEL ALJADEED COMPANY,602-009,터보부스터 마케팅 비용 Al Badeel 지급 건 (ME100),Complete,,7561096,"7,561,096 ",,,,,,"7,561,096 ",,,,"215,000.00 ","221,086.00 ",102.83%,,,,,,,,,,,,,,,,
2023-12-19,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,LATAM,El Salvador,200169,SUPER REPUESTOS,104-100,터보부스터 마케팅 비용 Super Repuestos 지급 건 (LA100),Complete,,2436387,"2,436,387 ",,,,,,"2,436,387 ",,,,"100,000.00 ","96,582.00 ",96.58%,,,,,,,,,,,,,,,,
2023-12-21,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,CIS,Kyrgyz Republic,200344,COMPLEX-AUTO,284-001,터보부스터 마케팅 비용 Complex-Auto 지급 건 (CIS100),Complete,,3858239,"3,858,239 ",,,,,,"3,858,239 ",,,,"300,000.00 ","403,110.00 ",134.37%,,,,,,,,,,,,,,,,
2023-12-22,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,CIS,Kyrgyzstan,200380,ALLIANCE-MOTORS LLC,284-002,터보부스터 마케팅 비용 Alliance-Motor 지급 건 (CIS100),Complete,,1441507,"1,441,507 ",,,,,,"1,441,507 ",,,,"100,000.00 ","138,400.00 ",138.40%,,,,,,,,,,,,,,,,
2023-12-27,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,LATAM,Peru,200193,REFAX PERU,145-006,터보부스터 마케팅 비용 Refax Peru 지급 건 (LA100),Complete,,4082339,"4,082,339 ",,,,,,"4,082,339 ",,,,"200,000.00 ","262,958.00 ",131.48%,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,Middle East,Oman,202000,Diamond Auto Spare Parts,663-002,터보부스터 마케팅 비용 지급: 지급액 없음. 실적 달성했으나 미지급,Complete,,0,0 ,,,,,,,,,,"140,000.00 ","143,746.21 ",102.68%,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,Middle East,Jordan,200510,GEORGE ABUZEID,654-003,터보부스터 마케팅 비용 지급: 지급액 없음. 실적 달성했으나 미지급,Complete,,0,0 ,,,,,,,,,,"75,000.00 ","74,876.85 ",99.84%,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,LATAM,Chile,200183,NORIEGA S.A.C.,139-022,터보부스터 마케팅 비용 지급: 지급액 없음. 실적 미달성,Complete,,0,0 ,,,,,,,,,,"100,000.00 ","94,728.00 ",94.73%,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,LATAM,Paraguay,200189,PLUSCAR S.A,140-300,터보부스터 마케팅 비용 지급: 지급액 없음. 실적 미달성,Complete,,0,0 ,,,,,,,,,,"150,000.00 ","115,301.00 ",76.87%,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,LATAM,Uruguay,200472,SELVIR IMPORTACIONES,141-010,터보부스터 마케팅 비용 지급: 지급액 없음. 실적 미달성,Complete,,0,0 ,,,,,,,,,,"30,000.00 ","1,009.00 ",3.36%,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,LATAM,Venezuela,287446,ROCA DE OCCIDENTE C.A,158-002,터보부스터 마케팅 비용 지급: 지급액 없음. 실적 미달성,Complete,,0,0 ,,,,,,,,,,"20,000.00 ",0.00 ,0.00%,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,LATAM,Bolivia,200404,INTERPARTS,138-001,터보부스터 마케팅 비용 지급: 지급액 없음. 실적 미달성,Complete,,0,0 ,,,,,,,,,,"20,000.00 ",0.00 ,0.00%,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,CIS,Armenia,200405,PIT STOP INTERNATIONAL LLC,273-001,터보부스터 마케팅 비용 지급: 지급액 없음. 실적 미달성,Complete,,0,0 ,,,,,,,,,,"150,000.00 ","81,918.00 ",54.61%,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,CIS,Azerbaijan,200308,SHARGMOTORS COMPANY,271-002,터보부스터 마케팅 비용 지급: 지급액 없음. 실적 미달성,Complete,,0,0 ,,,,,,,,,,"200,000.00 ","43,531.00 ",21.77%,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,CIS,Georgia,200342,TEGETA  RETAIL LLC,272-001,터보부스터 마케팅 비용 지급: 지급액 없음. 실적 미달성,Complete,,0,0 ,,,,,,,,,,"150,000.00 ","88,801.00 ",59.20%,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,CIS,Georgia,200447,AUTOBANI,272-002,터보부스터 마케팅 비용 지급: 지급액 없음. 실적 달성했으나 미지급,Complete,,0,0 ,,,,,,,,,,"75,000.00 ","75,468.84 ",100.63%,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,CIS,Turkmenistan,200507,ES “RAHAT YOL”,283-004,터보부스터 마케팅 비용 지급: 지급액 없음. 실적 미달성,Complete,,0,0 ,,,,,,,,,,"75,000.00 ","45,687.00 ",60.92%,,,,,,,,,,,,,,,,
2023-12-14,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,CIS,Uzbekistan,287452,Avtoritet,281-006,터보부스터 마케팅 비용 지급: 지급액 없음. 실적 미달성,Complete,,0,0 ,,,,,,,,,,"150,000.00 ","97,308.00 ",64.87%,,,,,,,,,,,,,,,,
2023-12-29,TURBOO-2023,Turbo Boost Marketing Promotion,Promotion,Marketing Rewards,CIS,Uzbekistan,200219,Powertrain Parts,281-001,터보부스터 마케팅 비용 Jilson Commercial (Powertrain Parts),Complete,,3868200,"3,868,200 ",,,,,,"3,868,200 ",,,,"300,000.00 ","555,904.00 ",185.30%,,,,,,,,,,,,,,,,
2024-05-13,STSTAR-2024,SteerStar,Ambassador,Field Marketing,Asia & Pacific,Malaysia,200264,MARBORO AUTO PARTS (M) SDN. BHD.,560-284,말레이시아 Marboro 테크세미나 장소 및 연회비 (SEA 100),Complete,,2251454,"2,251,454 ",,,,,,"2,251,454 ",,,22 ,,,,,,,,,,,,,,,,,,,
2024-05-26,STSTAR-2024,SteerStar,Ambassador,Field Marketing,Asia & Pacific,Malaysia,200264,MARBORO AUTO PARTS (M) SDN. BHD.,560-284,말레이시아 Marboro 테크세미나 장소 추가 케이터링 (SEA 100),Complete,,197978,"197,978 ",,,,,,"197,978 ",,,,,,,,,,,,,,,,,,,,,,
2024-06-05,GOLDSA-2023,Gold S.Abs Sales Boost Promotion,Promotion,Promotional Materials,LATAM,Colombia,200443,UNIVERSAL DE REPUESTOS,130-090,S/Abs 프로모션 대상 전용 판촉물 지원,Complete,,390000,"390,000 ",,,,,,"390,000 ",,,,"200,000.00 ","59,900.00 ",29.95%,,,,,,,,,,,,,,,,
2024-06-05,GOLDSA-2023,Gold S.Abs Sales Boost Promotion,Promotion,Promotional Materials,LATAM,Panama,203776,R24 AUTOMOTIVE,120-103,S/Abs 프로모션 대상 전용 판촉물 지원,Complete,,390000,"390,000 ",,,,,,"390,000 ",,,,"50,000.00 ","292,869.00 ",585.74%,,,,,,,,,,,,,,,,
2024-06-05,GOLDSA-2023,Gold S.Abs Sales Boost Promotion,Promotion,Promotional Materials,LATAM,Guatemala,200399,J.A. VASQUEZ,101-010,S/Abs 프로모션 대상 전용 판촉물 지원,Complete,,390000,"390,000 ",,,,,,"390,000 ",,,,"50,000.00 ","60,954.00 ",121.91%,,,,,,,,,,,,,,,,
2024-06-10,STSTAR-2024,SteerStar,Ambassador,Field Marketing,CIS,Georgia,200342,TEGETA  RETAIL LLC,272-001,SteerStar 마케팅 활동비 정산 건 : Tegeta (CIS 100),Complete,,5467600,"5,467,600 ",,,,,,"5,467,600 ",,,24 ,,,,,,,,,,,,,,,,,,,
2024-06-21,STSTAR-2024,SteerStar,Ambassador,Field Marketing,CIS,Azerbaijan,200308,SHARGMOTORS COMPANY,271-002,SteerStar 마케팅 활동비 정산 건 : Shargmotors (CIS 100),Complete,,5535200,"5,535,200 ",,,,,,"5,535,200 ",,,,,,,,,,,,,,,,,,,,,,
2024-07-09,STSTAR-2024,SteerStar,Ambassador,Field Marketing,LATAM,Costa Rica,200324,IMPORTACIONES SOL DE KOBE S.A.,106-005,SteerStar 마케팅 활동비 정산 건 : Sol de Kobe (LA 100),Complete,,5517600,"5,517,600 ",,,,,,"5,517,600 ",,,80 ,,,,,,,,,,,,,,,,,,,
2024-07-23,STSTAR-2024,SteerStar,Ambassador,Field Marketing,Asia & Pacific,Thailand,200332,"AUTO BUSINESS CORPORATION CO., LTD.",530-001,SteerStar 마케팅 활동비 정산 건 : Auto Corp (ASIA 100),Complete,,5646648,"5,646,648 ",,,,,,"5,646,648 ",,,75 ,,,,,,,,,,,,,,,,,,,
2024-08-08,STSTAR-2024,SteerStar,Ambassador,Field Marketing,Middle East,Oman,202000,Diamond Auto Spare Parts,663-002,SteerStar 마케팅 활동비 정산 건 : Diamond Auto Spare Parts,Complete,,5505600,"5,505,600 ",,,,,,"5,505,600 ",,,100 ,,,,,,,,,,,,,,,,,,,
2024-08-08,STSTAR-2024,SteerStar,Ambassador,Field Marketing,Asia & Pacific,Philippines,200241,CHUAN LAM AUTO SUPPLY,510-003,SteerStar 마케팅 활동비 정산 건 : Chuan Lam (ASIA 100),Complete,,3182443,"3,182,443 ",,,,,,"3,182,443 ",,,,,,,,,,,,,,,,,,,,,,
2024-08-08,STSTAR-2024,SteerStar,Ambassador,Field Marketing,N.America,Canada,200767,Motorcade Industries Inc.,322-001,SteerStar 마케팅 활동비 정산 건 : 활동했으나 정산금액 없음,Complete,,0,0 ,,,,,,,,,10 ,,,,,,,,,,,,,,,,,,,
2024-09-02,CMMENA-2024,Co-funded Marketing (ME),Local Marketing,Sponsorship,Middle East,United Arab Emirates : UAE,200453,NEW EAST GENERAL TRADING,672-001,NEWEAST 통합프로모션 마케팅 비용 지급 건: Gala dinner Sponsorship (ME 100),Complete,,30776670,"30,776,670 ",,,,,,"30,776,670 ",,,,,,,,,,,,,,,,,,,,,,
2024-11-01,STSTAR-2024,SteerStar,Ambassador,Field Marketing,CIS,Kyrgyzstan,200380,ALLIANCE-MOTORS LLC,284-002,마케팅커뮤니케이션팀 (안양) - SteerStar 활동비 정산건 : Alliance Mot,Complete,,7769597,"7,769,597 ",,,,,,"7,769,597 ",,,62 ,,,,,,,,,,,,,,,,,,,
2024-11-14,STSTAR-2024,SteerStar,Ambassador,Field Marketing,Middle East,United Arab Emirates : UAE,200453,NEW EAST GENERAL TRADING,672-001,SteerStar 마케팅 활동비 정산 건 : Neweast (MENA 100),Complete,,9578703,"9,578,703 ",,,,,,"9,578,703 ",,,,,,,,,,,,,,,,,,,,,,
2024-11-18,STSTAR-2024,SteerStar,Ambassador,Field Marketing,Asia & Pacific,Vietnam,200464,NAM BAC AUTO SPARE? PART CORPORATION.,551-008,SteerStar 마케팅 활동비 정산 건 : Nam Bac (ASIA 100),Complete,,5611200,"5,611,200 ",,,,,,"5,611,200 ",,,98 ,,,,,,,,,,,,,,,,,,,
2024-11-20,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,LATAM,PERU,200193,REFAX PERU,145-006,[브랜드 프로모션] 72주년 마케팅 프로모션 인센티브 지급 건_PERU_Refax(LA 1,Complete,,10022400,"10,022,400 ",,,,,,"10,022,400 ",,,,"225,000.00 ","268,826.00 ",119.48%,,,,,,,,,,,,,,,,
2024-11-20,STSTAR-2024,SteerStar,Ambassador,Field Marketing,Middle East,Saudi Arabia,288283,SAMIR ODEH,661-007,SteerStar 마케팅 활동비 정산 건 : Samir Odeh (MENA 100),Complete,,8352000,"8,352,000 ",,,,,,"8,352,000 ",,,20 ,,,,,,,,,,,,,,,,,,,
2024-11-29,CMMENA-2024,Co-funded Marketing (ME),Local Marketing,Co-Marketing,Middle East,United Arab Emirates : UAE,200453,NEW EAST GENERAL TRADING,672-001,중동 NEWEAST 마케팅 협업 집행 건 (MENA 100),Complete,,93271936,"67,304,805 ",,,,,,"67,304,805 ",,"25,967,131 ",,,,,,,,"1,348 ",25.0,"17,502,681 ","10,308,478 ","10,800,637 ","40,015 ","50,048 ","1,484.00 ",2.0,,519.00 ,,47.0
2024-12-09,STSTAR-2024,SteerStar,Ambassador,Field Marketing,LATAM,Panama,203776,R24 AUTOMOTIVE,120-103,SteerStar 마케팅 활동비 정산 건 : R24 Automotive (LA 100),Complete,,8516400,"8,516,400 ",,,,,,"8,516,400 ",,,50 ,,,,,,,,,,,,,,,,,,,
2024-12-09,STSTAR-2024,SteerStar,Ambassador,Marketing Rewards,LATAM,Panama,203776,R24 AUTOMOTIVE,120-103,SteerStar 2024 Reward 정산 건 : R24 Automotive (LA 10,Complete,,4258200,"4,258,200 ",,,,,,,"4,258,200 ",,,,,,,,,,,,,,,,,,,,,
2024-12-09,STSTAR-2024,SteerStar,Ambassador,Marketing Rewards,Asia & Pacific,Vietnam,200464,NAM BAC AUTO SPARE? PART CORPORATION.,551-008,SteerStar 2024 Reward 정산 건 : Nam Bac (ASIA 100),Complete,,4258200,"4,258,200 ",,,,,,,"4,258,200 ",,,,,,,,,,,,,,,,,,,,,
2024-12-09,STSTAR-2024,SteerStar,Ambassador,Field Marketing,LATAM,Guatemala,200399,J.A. VASQUEZ,101-010,SteerStar 마케팅 활동비 정산 건 : Vasquez (LA 100),Complete,,5677600,"5,677,600 ",,,,,,"5,677,600 ",,,107 ,,,,,,,,,,,,,,,,,,,
2024-12-09,STSTAR-2024,SteerStar,Ambassador,Field Marketing,LATAM,Colombia,200443,UNIVERSAL DE REPUESTOS,130-090,SteerStar 마케팅 활동비 정산 건 : UDR (LA 100),Complete,,8516400,"8,516,400 ",,,,,,"8,516,400 ",,,300 ,,,,,,,,,,,,,,,,,,,
2024-12-09,STSTAR-2024,SteerStar,Ambassador,Marketing Rewards,LATAM,Colombia,200443,UNIVERSAL DE REPUESTOS,130-090,SteerStar 2024 Reward 정산 건 : UDR (LA 100),Complete,,7097000,"7,097,000 ",,,,,,,"7,097,000 ",,,,,,,,,,,,,,,,,,,,,
2024-12-11,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,LATAM,Guatemala,200399,J.A. VASQUEZ,101-010,[브랜드 프로모션] 72주년 마케팅 프로모션 인센티브 지급 건_Guatemala_J.A.V,Complete,,2785552,"2,785,552 ",,,,,,"2,785,552 ",,,,"40,000.00 ","60,954.00 ",152.39%,,,,,,,,,,,,,,,,
