CTR Code,order date,region,country,promotion_category,promotion_theme,product,sku,part_no,position,make_model,qty,unit_price,amount,currency,target,sell_type,customer,Customer_No
CL0477,2026-03-11,LATAM,엘살바도르,CTR MarketFit Campaign,CHOICE_KIT,STABILIZER LINK ASSY,CL0477,54618-JX00A,Front,NISSAN MICRA 2015 - 2019,800,4.66,3728,USD,B2B,SELL-IN,SUPER REPUESTOS,200169
CL0477,2026-03-11,LATAM,온두라스,CTR MarketFit Campaign,CHOICE_KIT,STABILIZER LINK ASSY,CL0477,54618-JX00A,Front,NISSAN MICRA 2015 - 2019,80,4.66,372.8,USD,B2B,SELL-IN,Super Repuestos Honduras S.A. de C.V.,290021
CL0477,2026-03-11,LATAM,EL SALVADOR,Mexico Worldcup Promotion,CHOICE_KIT,S/LINK ASSY,CL0477,CSL0546H-999,,,80,4.66,372.8,USD,B2B,SELL-IN,Super Repuestos Honduras S.A.,200169
CL0477,2026-03-12,LATAM,과테말라,CTR MarketFit Campaign,CHOICE_KIT,STABILIZER LINK ASSY,CL0477,54618-JX00A,Front,NISSAN MICRA 2015 - 2019,90,5.45,490.5,USD,B2B,SELL-IN,CLUTCHES DE GUATEMALA,200403
CL0240,2026-03-12,LATAM,과테말라,CTR MarketFit Campaign,CHOICE_KIT,STABILIZER LINK,CL0240,96275798,FRONT,GM KOREA NUBIRA 1997-1999,12,4.76,57.12,USD,B2B,SELL-IN,CLUTCHES DE GUATEMALA,200403
CL0477,2026-03-12,LATAM,파나마,CTR MarketFit Campaign,CHOICE_KIT,STABILIZER LINK ASSY,CL0477,54618-JX00A,Front,NISSAN MICRA 2015 - 2019,800,3.8,3040,USD,B2B,SELL-IN,RP INTERNATIONAL GROUP INC,200358
CL0477,2026-03-12,LATAM,GUATEMALA,Mexico Worldcup Promotion,CHOICE_KIT,S/LINK ASSY,CL0477,CSL0546H-999,,,90,5.45,490.5,USD,B2B,SELL-IN,CLUTCHES DE GUATEMALA,200403
CL0477,2026-03-12,LATAM,PANAMA,Mexico Worldcup Promotion,CHOICE_KIT,S/LINK ASSY,CL0477,CSL0546H-999,,,800,3.8,3040.0,USD,B2B,SELL-IN,RP INTERNATIONAL GROUP INC,200358
CB0161,2026-03-13,LATAM,에콰도르,CTR MarketFit Campaign,CHOICE_KIT,BALL JOINT,CB0161,96535089,LOWER,GM KOREA AVEO 2002-,2500,4.68,11700,USD,B2B,SELL-IN,HIVIMAR S.A.,200181
CL0477,2026-03-13,LATAM,에콰도르,CTR MarketFit Campaign,CHOICE_KIT,STABILIZER LINK ASSY,CL0477,54618-JX00A,Front,NISSAN MICRA 2015 - 2019,85,4.18,355.3,USD,B2B,SELL-IN,HIVIMAR S.A.,200181
CB0161,2026-03-13,LATAM,ECUADOR,Mexico Worldcup Promotion,CHOICE_KIT,BALL JOINT ASSY,CB0161,CBJ0235E-999,,,2500,4.68,11700.0,USD,B2B,SELL-IN,HIVIMAR S.A.,200181
CB0161,2026-03-13,LATAM,ECUADOR,Mexico Worldcup Promotion,CHOICE_KIT,BALL JOINT ASSY,CB0161,CBJ0235E-999,,,2500,4.68,11700.0,USD,B2B,SELL-IN,HIVIMAR S.A.,200181
CL0477,2026-03-13,LATAM,ECUADOR,Mexico Worldcup Promotion,CHOICE_KIT,S/LINK ASSY,CL0477,CSL0546H-999,,,85,4.18,355.3,USD,B2B,SELL-IN,HIVIMAR S.A.,200181
CR0490,2026-03-17,LATAM,파나마,CTR MarketFit Campaign,CHOICE_KIT,INNER TIE ROD,CR0490,485211HK0A,R/L,NISSAN MARCH 2010-,24,3.7,88.8,USD,B2B,SELL-IN,R24 AUTOMOTIVE,203776
CR0490,2026-03-17,LATAM,PANAMA,Mexico Worldcup Promotion,CHOICE_KIT,INNER TIE ROD ASSY,CR0490,RIT0646K-999,,,24,3.7,88.8,USD,B2B,SELL-IN,R24 AUTOMOTIVE,203776
CL0240,2026-03-18,LATAM,파라과이,CTR MarketFit Campaign,CHOICE_KIT,STABILIZER LINK,CL0240,96275798,FRONT,GM KOREA NUBIRA 1997-1999,20,4.01,80.2,USD,B2B,SELL-IN,AUTOMOVIL SUPPLY,200187
CB0161,2026-03-18,LATAM,코스타리카,CTR MarketFit Campaign,CHOICE_KIT,BALL JOINT,CB0161,96535089,LOWER,GM KOREA AVEO 2002-,30,4.66,139.8,USD,B2B,SELL-IN,IMPORTACIONES SOL DE KOBE S.A.,200324
CE0287L,2026-03-18,LATAM,코스타리카,CTR MarketFit Campaign,CHOICE_KIT,OUTER TIE ROD,CE0287L,521595,OUTER L,GM KOREA AVEO 2002-2005,10,4.46,44.6,USD,B2B,SELL-IN,IMPORTACIONES SOL DE KOBE S.A.,200324
CE0287R,2026-03-18,LATAM,코스타리카,CTR MarketFit Campaign,CHOICE_KIT,OUTER TIE ROD,CE0287R,93740623,OUTER R,GM KOREA KALOS 2002-2004,20,4.46,89.2,USD,B2B,SELL-IN,IMPORTACIONES SOL DE KOBE S.A.,200324
CB0161,2026-03-18,LATAM,COSTA RICA,Mexico Worldcup Promotion,CHOICE_KIT,BALL JOINT ASSY,CB0161,CBJ0235E-999,,,30,4.66,139.8,USD,B2B,SELL-IN,IMPORTACIONES SOL DE KOBE S.A.,200324
CL0240,2026-03-20,LATAM,페루,CTR MarketFit Campaign,CHOICE_KIT,STABILIZER LINK,CL0240,96275798,FRONT,GM KOREA NUBIRA 1997-1999,60,3.97,238.2,USD,B2B,SELL-IN,GC IMP,200311
CE0536R,2026-03-20,LATAM,페루,CTR MarketFit Campaign,CHOICE_KIT,OUTER TIE ROD,CE0536R,D85201HK0A,OUTER,NISSAN VERSA SEDAN 2012-,10,7.49,74.9,USD,B2B,SELL-IN,GC IMP,200311
CL0240,2026-03-20,LATAM,콜롬비아,CTR MarketFit Campaign,CHOICE_KIT,STABILIZER LINK,CL0240,96275798,FRONT,GM KOREA NUBIRA 1997-1999,460,3.32,1527.2,USD,B2B,SELL-IN,IMPORTADORAS ASOCIADAS,200318
CQ0096R,2026-03-20,LATAM,콜롬비아,CTR MarketFit Campaign,CHOICE_KIT,LWR CONTROL ARM ASSY,CQ0096R,95975942,Front Right Lower,CHEVROLET AVEO 2004 - 2011,10,18.56,185.6,USD,B2B,SELL-IN,IMPORTADORAS ASOCIADAS,200318
CR0490,2026-03-20,LATAM,콜롬비아,CTR MarketFit Campaign,CHOICE_KIT,INNER TIE ROD,CR0490,485211HK0A,R/L,NISSAN MARCH 2010-,10,5.78,57.8,USD,B2B,SELL-IN,IMPORTADORAS ASOCIADAS,200318
CQ0096R,2026-03-20,LATAM,COLOMBIA,Mexico Worldcup Promotion,CHOICE_KIT,LWR CONTROL ARM ASSY,CQ0096R,CLC0094F-999,,,10,18.56,185.6,USD,B2B,SELL-IN,IMPORTADORAS ASOCIADAS,200318
CR0490,2026-03-20,LATAM,COLOMBIA,Mexico Worldcup Promotion,CHOICE_KIT,INNER TIE ROD ASSY,CR0490,RIT0646K-999,,,10,5.78,57.8,USD,B2B,SELL-IN,IMPORTADORAS ASOCIADAS,200318
GV0131,2026-03-20,LATAM,COLOMBIA,Mexico Worldcup Promotion,CHOICE_KIT,BUSH AM,GV0131,CBH0335A-999,,,10,1.05,10.5,USD,B2B,SELL-IN,IMPORTADORAS ASOCIADAS,200318
CE0536R,2026-03-20,LATAM,PERU,Mexico Worldcup Promotion,CHOICE_KIT,OUTER TIE ROD ASSY,CE0536R,ROT1308H-999,,,10,7.49,74.9,USD,B2B,SELL-IN,GC IMP,200311
CB0457R,2026-03-23,CIS,카자흐스탄,European vehicle,CHOICE_KIT,BALL JOINT ASSY,CB0457R,"3C0 407 366 A
3C0 407 366 B",FRONT LOWER R,VW | Passat (3C2) 2005-2010,5,9.13,45.65,USD,B2B,SELL-IN,ROSSKO KZ,287584
CE0840R,2026-03-23,CIS,카자흐스탄,European vehicle,CHOICE_KIT,OUTER TIE ROD ASSY,CE0840R,"FOR 6R0 423 803 B
FOR 6R0 423 803 D",FRONT R,VW | Polo (601/603/6R1/602/604/612/6C1) 2009-2022,4,5.78,23.12,USD,B2B,SELL-IN,ROSSKO KZ,287584
CL0230,2026-03-23,CIS,카자흐스탄,European vehicle,CHOICE_KIT,STABILIZER LINK ASSY,CL0230,350608,FRONT L,OPEL | Frontera 1992-1998,2,4.2,8.4,USD,B2B,SELL-IN,ROSSKO KZ,287584
