CTR Code,order date,region,country,promotion_category,promotion_theme,product,sku,part_no,position,make_model,qty,unit_price,amount,currency,target,sell_type,customer
CB0251,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0251,CB0251,,MITSUBISHI,24,6.17,148.07999999999998,USD,B2B,SELL-IN,GP
CB0604,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0604,CB0604,,ISUZU,24,7.64,183.35999999999999,USD,B2B,SELL-IN,GP
CB0232,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0232,CB0232,,KIA,24,5.69,136.56,USD,B2B,SELL-IN,GP
CR0277L,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0277L,CR0277L,INNER,HYUNDAI,64,5.08,325.12,USD,B2B,SELL-IN,GP
CE0513,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0513,CE0513,OUTER,NISSAN,12,6.23,74.76,USD,B2B,SELL-IN,GP
CE0295,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0295,CE0295,OUTER,GM KOREA,50,4.16,208.0,USD,B2B,SELL-IN,GP
CB0411,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0411,CB0411,,GM,24,5.26,126.24,USD,B2B,SELL-IN,GP
CR0430,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0430,CR0430,INNER,MAZDA,32,5.23,167.36,USD,B2B,SELL-IN,GP
CE0264,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0264,CE0264,OUTER,ISUZU,72,4.02,289.43999999999994,USD,B2B,SELL-IN,GP
CB0248R,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0248R,CB0248R,,MITSUBISHI,12,9.09,109.08,USD,B2B,SELL-IN,GP
CL0575,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0575,CL0575,,TOYOTA,16,4.46,71.36,USD,B2B,SELL-IN,GP
CE0433,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0433,CE0433,OUTER,MITSUBISHI,22,5.43,119.46,USD,B2B,SELL-IN,GP
CL0220R,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0220R,CL0220R,,HONDA,10,3.86,38.6,USD,B2B,SELL-IN,GP
CL0233L,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0233L,CL0233L,,ISUZU,40,2.41,96.4,USD,B2B,SELL-IN,GP
CE0250R,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0250R,CE0250R,OUTER,HONDA,26,5.22,135.72,USD,B2B,SELL-IN,GP
CE0334L,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0334L,CE0334L,OUTER,HYUNDAI,36,5.38,193.68,USD,B2B,SELL-IN,GP
CE0514,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0514,CE0514,OUTER,NISSAN,12,6.23,74.76,USD,B2B,SELL-IN,GP
CB0461,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0461,CB0461,,FORD,24,8.89,213.36,USD,B2B,SELL-IN,GP
CB0150,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0150,CB0150,,ISUZU,24,5.28,126.72,USD,B2B,SELL-IN,GP
CB0164,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0164,CB0164,,GM KOREA,30,5.42,162.6,USD,B2B,SELL-IN,GP
CB0219,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0219,CB0219,,KIA,30,3.22,96.60000000000001,USD,B2B,SELL-IN,GP
CR0929,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0929,CR0929,INNER,ISUZU,20,7.32,146.4,USD,B2B,SELL-IN,GP
CR0277R,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0277R,CR0277R,INNER,HYUNDAI,64,5.08,325.12,USD,B2B,SELL-IN,GP
CL0477,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0477,CL0477,,NISSAN,10,3.47,34.7,USD,B2B,SELL-IN,GP
CB0231,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0231,CB0231,,KIA,30,4.65,139.5,USD,B2B,SELL-IN,GP
CL0107,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0107,CL0107,,BUICK,26,2.97,77.22,USD,B2B,SELL-IN,GP
CB0293,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0293,CB0293,,MAZDA,40,2.36,94.39999999999999,USD,B2B,SELL-IN,GP
CE0762,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0762,CE0762,OUTER,TOYOTA,108,4.68,505.43999999999994,USD,B2B,SELL-IN,GP
CE0201R,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0201R,CE0201R,OUTER,HONDA,12,5.84,70.08,USD,B2B,SELL-IN,GP
CL0159,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0159,CL0159,,HONDA,10,3.48,34.8,USD,B2B,SELL-IN,GP
CE0334R,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0334R,CE0334R,OUTER,HYUNDAI,36,5.38,193.68,USD,B2B,SELL-IN,GP
CL0425R,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0425R,CL0425R,,MAZDA,10,3.09,30.9,USD,B2B,SELL-IN,GP
CB0137,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0137,CB0137,,HONDA,30,4.35,130.5,USD,B2B,SELL-IN,GP
CB0248L,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0248L,CB0248L,,MITSUBISHI,12,9.09,109.08,USD,B2B,SELL-IN,GP
CL0221L,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0221L,CL0221L,,HONDA,20,3.87,77.4,USD,B2B,SELL-IN,GP
CR0230,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0230,CR0230,INNER,ISUZU,20,7.73,154.60000000000002,USD,B2B,SELL-IN,GP
CR0443,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0443,CR0443,INNER,TOYOTA,32,3.93,125.76,USD,B2B,SELL-IN,GP
CL0282L,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0282L,CL0282L,,HYUNDAI,20,3.16,63.2,USD,B2B,SELL-IN,GP
CL0190,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0190,CL0190,,HONDA,10,3.21,32.1,USD,B2B,SELL-IN,GP
CB0250,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0250,CB0250,,MITSUBISHI,40,4.21,168.4,USD,B2B,SELL-IN,GP
CL0189,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0189,CL0189,,HONDA,10,2.75,27.5,USD,B2B,SELL-IN,GP
CB0418,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0418,CB0418,,TOYOTA,24,6.23,149.52,USD,B2B,SELL-IN,GP
CE0250L,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0250L,CE0250L,OUTER,HONDA,26,5.22,135.72,USD,B2B,SELL-IN,GP
CR0231,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0231,CR0231,INNER,ISUZU,20,8.05,161.0,USD,B2B,SELL-IN,GP
CR0229,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0229,CR0229,INNER,ISUZU,20,8.08,161.6,USD,B2B,SELL-IN,GP
CR0054,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0054,CR0054,INNER,FORD,20,4.79,95.8,USD,B2B,SELL-IN,GP
CR0628,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0628,CR0628,INNER,TOYOTA,20,3.99,79.80000000000001,USD,B2B,SELL-IN,GP
CE0803,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0803,CE0803,OUTER,TOYOTA,18,6.79,122.22,USD,B2B,SELL-IN,GP
CL0353R,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0353R,CL0353R,,GM,30,3.29,98.7,USD,B2B,SELL-IN,GP
CE0260,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0260,CE0260,OUTER,OPEL,36,3.62,130.32,USD,B2B,SELL-IN,GP
CB0327,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0327,CB0327,,NISSAN,16,9.45,151.2,USD,B2B,SELL-IN,GP
CB0393,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0393,CB0393,,TOYOTA,30,4.78,143.4,USD,B2B,SELL-IN,GP
CB0379,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0379,CB0379,,TOYOTA,16,6.75,108.0,USD,B2B,SELL-IN,GP
CB0149,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0149,CB0149,,ISUZU,36,8.34,300.24,USD,B2B,SELL-IN,GP
CL0353L,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0353L,CL0353L,,GM,20,3.29,65.8,USD,B2B,SELL-IN,GP
CL0574,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0574,CL0574,,TOYOTA,32,4.46,142.72,USD,B2B,SELL-IN,GP
CL0233R,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0233R,CL0233R,,ISUZU,40,2.41,96.4,USD,B2B,SELL-IN,GP
CL0253,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0253,CL0253,,GM KOREA,20,3.16,63.2,USD,B2B,SELL-IN,GP
CB0349,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0349,CB0349,,SUZUKI,30,3.49,104.7,USD,B2B,SELL-IN,GP
CB0323,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0323,CB0323,,NISSAN,40,5.1,204.0,USD,B2B,SELL-IN,GP
CR0547,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0547,CR0547,INNER,OPEL,20,4.82,96.4,USD,B2B,SELL-IN,GP
CB0252,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0252,CB0252,,MITSUBISHI,30,4.35,130.5,USD,B2B,SELL-IN,GP
CB0408,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0408,CB0408,,TOYOTA,80,5.96,476.8,USD,B2B,SELL-IN,GP
CE0259,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0259,CE0259,OUTER,ISUZU,36,3.62,130.32,USD,B2B,SELL-IN,GP
CE0264,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0264,CE0264,OUTER,ISUZU,108,4.02,434.15999999999997,USD,B2B,SELL-IN,GP
CB0402L,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0402L,CB0402L,,TOYOTA,24,5.8,139.2,USD,B2B,SELL-IN,GP
CB0427,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0427,CB0427,,TOYOTA,24,6.09,146.16,USD,B2B,SELL-IN,GP
CR0659,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0659,CR0659,INNER,TOYOTA,60,5.78,346.8,USD,B2B,SELL-IN,GP
CB0221,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,BALL JOINT,CB0221,CB0221,,HYUNDAI,24,6.97,167.28,USD,B2B,SELL-IN,GP
CL0425L,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0425L,CL0425L,,MAZDA,10,3.09,30.9,USD,B2B,SELL-IN,GP
CR0242,2025-01-17,ASIA,태국,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0242,CR0242,INNER,GM KOREA,60,4.11,246.60000000000002,USD,B2B,SELL-IN,GP
CL0389,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0389,CL0389,,MITSUBISHI,20,3.62,72.4,USD,B2B,SELL-IN,GTB
CR0348,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0348,CR0348,INNER,KIA,16,5.68,90.88,USD,B2B,SELL-IN,GTB
CE0059,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0059,CE0059,OUTER,KIA,72,3.23,232.56,USD,B2B,SELL-IN,GTB
CL0249,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0249,CL0249,,GMDAT,20,3.56,71.2,USD,B2B,SELL-IN,GTB
CL0337L,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0337L,CL0337L,,KIA,300,2.96,888.0,USD,B2B,SELL-IN,GTB
CE0322R,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0322R,CE0322R,OUTER,HYUNDAI,10,4.98,49.800000000000004,USD,B2B,SELL-IN,GTB
CL0460R,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0460R,CL0460R,,NISSAN,20,4.89,97.8,USD,B2B,SELL-IN,GTB
CL0241,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0241,CL0241,,GMDAT,20,2.78,55.599999999999994,USD,B2B,SELL-IN,GTB
CL0360L,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0360L,CL0360L,,KIA,20,3.83,76.6,USD,B2B,SELL-IN,GTB
CL0276,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0276,CL0276,,HYUNDAI,36,3.23,116.28,USD,B2B,SELL-IN,GTB
CB0445,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,BALL JOINT,CB0445,CB0445,,TOYOTA,30,6.81,204.29999999999998,USD,B2B,SELL-IN,GTB
CE0287R,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0287R,CE0287R,OUTER,GMDAT,20,3.8,76.0,USD,B2B,SELL-IN,GTB
CE0726,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0726,CE0726,OUTER,TOYOTA,10,5.02,50.199999999999996,USD,B2B,SELL-IN,GTB
CL0354,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0354,CL0354,,KIA,20,5.01,0.0,USD,B2B,SELL-IN,GTB
CL0477,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0477,CL0477,,NISSAN,20,3.83,76.6,USD,B2B,SELL-IN,GTB
CL0357,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0357,CL0357,,KIA,28,4.65,130.20000000000002,USD,B2B,SELL-IN,GTB
CE0372L,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0372L,CE0372L,OUTER,KIA,24,5.4,129.60000000000002,USD,B2B,SELL-IN,GTB
CL0265R,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0265R,CL0265R,,HYUNDAI,60,2.96,177.6,USD,B2B,SELL-IN,GTB
CE0371L,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0371L,CE0371L,OUTER,KIA,40,5.92,236.8,USD,B2B,SELL-IN,GTB
CE0298R,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0298R,CE0298R,OUTER,GMDAT,36,5.47,196.92,USD,B2B,SELL-IN,GTB
CL0275,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0275,CL0275,,HYUNDAI,300,3.35,1005.0,USD,B2B,SELL-IN,GTB
CB0162,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,BALL JOINT,CB0162,CB0162,,GMDAT,30,4.17,125.1,USD,B2B,SELL-IN,GTB
CB0411,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,BALL JOINT,CB0411,CB0411,,TOYOTA,12,5.71,68.52,USD,B2B,SELL-IN,GTB
CE0287L,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0287L,CE0287L,OUTER,GMDAT,20,3.8,76.0,USD,B2B,SELL-IN,GTB
CE0289,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0289,CE0289,OUTER,GMDAT,44,4.38,192.72,USD,B2B,SELL-IN,GTB
CE0294,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0294,CE0294,OUTER,GMDAT,22,4.5,99.0,USD,B2B,SELL-IN,GTB
CB0226,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,BALL JOINT,CB0226,CB0226,,KIA,300,4.32,1296.0,USD,B2B,SELL-IN,GTB
CL0390,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0390,CL0390,,MITSUBISHI,20,3.62,72.4,USD,B2B,SELL-IN,GTB
CL0580,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0580,CL0580,,TOYOTA,20,3.68,73.60000000000001,USD,B2B,SELL-IN,GTB
CR0241,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0241,CR0241,INNER,GMDAT,10,3.56,35.6,USD,B2B,SELL-IN,GTB
CR0285,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0285,CR0285,INNER,HYUNDAI,20,4.59,91.8,USD,B2B,SELL-IN,GTB
CL0293,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0293,CL0293,,HYUNDAI,10,3.59,35.9,USD,B2B,SELL-IN,GTB
CE0330L,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0330L,CE0330L,OUTER,HYUNDAI,24,4.29,102.96000000000001,USD,B2B,SELL-IN,GTB
CL0346,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0346,CL0346,,KIA,36,3.56,128.16,USD,B2B,SELL-IN,GTB
CL0337R,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0337R,CL0337R,,KIA,300,2.96,888.0,USD,B2B,SELL-IN,GTB
CL0529,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0529,CL0529,,SUZUKI,10,3.31,33.1,USD,B2B,SELL-IN,GTB
CL0246L,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0246L,CL0246L,,GMDAT,20,3.59,71.8,USD,B2B,SELL-IN,GTB
CB0186,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,BALL JOINT,CB0186,CB0186,,HYUNDAI,120,2.87,344.40000000000003,USD,B2B,SELL-IN,GTB
CR0495,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0495,CR0495,INNER,NISSAN,20,6.42,128.4,USD,B2B,SELL-IN,GTB
CR0326R,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0326R,CR0326R,INNER,KIA,10,4.47,44.699999999999996,USD,B2B,SELL-IN,GTB
CE0291,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0291,CE0291,OUTER,GMDAT,28,5.25,147.0,USD,B2B,SELL-IN,GTB
CE0298L,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0298L,CE0298L,OUTER,GMDAT,36,5.47,196.92,USD,B2B,SELL-IN,GTB
CL0265L,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0265L,CL0265L,,HYUNDAI,80,2.96,236.8,USD,B2B,SELL-IN,GTB
CL0277L,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0277L,CL0277L,,HYUNDAI,10,3.68,36.800000000000004,USD,B2B,SELL-IN,GTB
CR0243,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,INNER TIE ROD,CR0243,CR0243,INNER,GMDAT,32,5.1,163.2,USD,B2B,SELL-IN,GTB
CE0480,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0480,CE0480,OUTER,MAZDA,10,6.48,64.80000000000001,USD,B2B,SELL-IN,GTB
CL0344L,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0344L,CL0344L,,KIA,10,3.14,31.400000000000002,USD,B2B,SELL-IN,GTB
CE0328R,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,OUTER TIE ROD,CE0328R,CE0328R,OUTER,HYUNDAI,10,3.9,39.0,USD,B2B,SELL-IN,GTB
CL0553,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0553,CL0553,,TOYOTA,20,3.7,74.0,USD,B2B,SELL-IN,GTB
CL0527,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0527,CL0527,,SUZUKI,10,3.19,31.9,USD,B2B,SELL-IN,GTB
CL0356,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0356,CL0356,,KIA,20,5.19,103.80000000000001,USD,B2B,SELL-IN,GTB
CL0460L,2025-01-17,ASIA,베트남,Trade promotion,CHOICE_KIT,STABILIZER LINK,CL0460L,CL0460L,,NISSAN,20,4.89,97.8,USD,B2B,SELL-IN,GTB
